"station_id","station_name","latitude","longitude","elevation","tz"
520102,"TOA RIDGE",-14.26471,-170.687,1270,"Pacific/Pago_Pago"
520103,"SIUFAGA RIDGE",-14.27614,-170.72186,480,"Pacific/Pago_Pago"
450312,"HUMPTULLIPS",47.37776,-123.76116,2230,"America/Los_Angeles"
450211,"OWL MT",47.76611,-123.96528,3398,"America/Los_Angeles"
499911,"OAHU FOREST NWR",21.47747,-157.93694,1666,"Pacific/Honolulu"
350113,"TIDEWATER",46.01147,-123.55628,2035,"America/Los_Angeles"
350215,"CEDAR",45.21167,-123.77194,2220,"America/Los_Angeles"
40105,"SHIP MTN",41.72823,-123.79522,5151,"America/Los_Angeles"
451509,"FINNEY CREEK",48.39236,-121.81828,2160,"America/Los_Angeles"
501042,"SHELTER COVE",55.52972,-131.36611,1650,"America/Sitka"
350604,"LOG CREEK",45.49658,-121.89646,2800,"America/Los_Angeles"
501044,"HAIDA",55.33,-132.6675,671,"America/Sitka"
450911,"JEFFERSON CREEK",47.5491,-123.21759,2408,"America/Los_Angeles"
352915,"QUAIL PRAIRIE LOOKOUT",42.24222,-124.04528,3183,"America/Los_Angeles"
350216,"SOUTH FORK",45.59528,-123.48361,2257,"America/Los_Angeles"
451613,"GOLD HILL",48.24294,-121.54614,3350,"America/Los_Angeles"
450321,"BLACK KNOB",47.41374,-124.1031,618,"America/Los_Angeles"
450130,"ELLIS MT",48.12944,-124.30528,2305,"America/Los_Angeles"
450407,"HUCKLEBERRY RIDGE",46.50222,-123.38444,2425,"America/Los_Angeles"
352922,"FLYNN PRAIRIE",42.39556,-124.37861,1543,"America/Los_Angeles"
450105,"FORKS",47.95528,-124.38497,303,"America/Los_Angeles"
451929,"THREE CORNER ROCK",45.72083,-122.03722,3450,"America/Los_Angeles"
451921,"CANYON CREEK",45.92944,-122.20278,2500,"America/Los_Angeles"
501040,"THORNE RIVER",55.69674,-132.5403,505,"America/Sitka"
451301,"LARCH MT.",45.72306,-122.34528,1150,"America/Los_Angeles"
451415,"SUMAS",48.90774,-122.22338,3406,"America/Los_Angeles"
40101,"CAMP SIX",41.83095,-123.8765,3698,"America/Los_Angeles"
352920,"RED MOUND",42.12333,-124.30028,1753,"America/Los_Angeles"
451924,"DRY CRK",45.94361,-121.9875,2700,"America/Los_Angeles"
501028,"ZAREMBO",56.3,-132.84861,900,"America/Sitka"
40430,"SLATE CREEK",41.34176,-123.65997,4178,"America/Los_Angeles"
353114,"ONION MOUNTAIN LOOKOUT",42.45408,-123.61613,4429,"America/Los_Angeles"
494002,"PUU ALII",21.14083,-156.90232,3805,"Pacific/Honolulu"
352813,"BALD KNOB",42.69361,-124.03944,3630,"America/Los_Angeles"
350726,"WANDERERS PEAK",45.10919,-122.19641,4350,"America/Los_Angeles"
352024,"YELLOWSTONE MTN.",44.59222,-122.42778,3080,"America/Los_Angeles"
450121,"TOMS CREEK",48.02234,-123.9583,2400,"America/Los_Angeles"
351710,"ROCKHOUSE 1",44.925,-123.46944,1797,"America/Los_Angeles"
501013,"HOONAH",57.80825,-135.08892,450,"America/Juneau"
40102,"GASQUET 2",41.83828,-123.94534,452,"America/Los_Angeles"
451721,"FIRE TRNG. ACADEMY",47.45678,-121.66517,1580,"America/Los_Angeles"
451208,"ELK ROCK",46.31222,-122.38556,2500,"America/Los_Angeles"
40425,"SCHOOLHOUSE",41.13844,-123.90679,2653,"America/Los_Angeles"
514801,"MARICAO",18.16167,-67.02611,1618,"America/Puerto_Rico"
451409,"KIDNEY CREEK",48.92022,-121.94264,3485,"America/Los_Angeles"
451611,"JOHNSON RIDGE",47.79992,-121.286,2028,"America/Los_Angeles"
352545,"GOODWIN PEAK",43.92806,-123.89028,1800,"America/Los_Angeles"
350505,"RYE MOUNTAIN",45.21731,-123.53578,2000,"America/Los_Angeles"
352554,"PEBBLE",44.23667,-121.995,3450,"America/Los_Angeles"
350727,"HORSE CREEK",44.94081,-122.40081,3402,"America/Los_Angeles"
353044,"BURNT RIDGE",43.20278,-123.7175,2955,"America/Los_Angeles"
352552,"TROUT CREEK",44.11114,-122.57725,2268,"America/Los_Angeles"
350208,"TILLAMOOK",45.45722,-123.8025,11,"America/Los_Angeles"
450306,"MINOT PEAK",46.89222,-123.41694,1768,"America/Los_Angeles"
451209,"ABERNATHY MTN.",46.34278,-123.08333,2000,"America/Los_Angeles"
353046,"CHARLOTTE RIDGE",43.67006,-123.94217,1220,"America/Los_Angeles"
352919,"CALVERT PEAK",42.77908,-123.73464,3822,"America/Los_Angeles"
351604,"CANNIBAL MOUNTAIN",44.34889,-123.88667,1939,"America/Los_Angeles"
41304,"SADDLEBACK",39.63614,-120.86399,6670,"America/Los_Angeles"
451105,"KOSMOS",46.52389,-122.19,2100,"America/Los_Angeles"
352816,"SIGNAL TREE",43.00167,-123.77861,3294,"America/Los_Angeles"
40404,"BRUSH MOUNTAIN",40.91393,-123.66878,3941,"America/Los_Angeles"
90701,"BRASSTOWN",34.80574,-83.71261,3280,"America/New_York"
451504,"MARBLEMOUNT",48.53944,-121.44611,357,"America/Los_Angeles"
498011,"MOLOKAI 1",21.115,-156.9475,2733,"Pacific/Honolulu"
